id,title,description,google_product_category,link,image_link,availability,price,brand,identifier_exists,condition
KM0011-1,"Stripe Tote Mini White - 30% off","<meta charset=""utf-8""><p data-mce-fragment=""1""><span color=""#f2ede9"" style=""color: #f2ede9;"" mce-data-marked=""1"">Stripe Tote Mini Bag Black &amp; White</span></p><div id=""gtx-trans"" style=""position: absolute; left: 112px; top: 27px;""><div class=""gtx-trans-icon""></div></div>",Apparel & Accessories > Handbags, Wallets & Cases > Handbags,https://www.littleliffner.com/products/stripe-tote-mini-white?variant=40915978846301,https://cdn.shopify.com/s/files/1/0108/5022/products/stripe-tote-mini-white-710702.jpg?v=1677025733,in stock,110.0,Little Liffner,no,new
KM0011-2,"Stripe Tote Mini Beige - 30% off","<meta charset=""utf-8""><p data-mce-fragment=""1""><span color=""#f2ede9"" style=""color: #f2ede9;"" mce-data-marked=""1"">Stripe Tote Mini Bag Beige</span></p><div id=""gtx-trans"" style=""position: absolute; left: 112px; top: 27px;""><div class=""gtx-trans-icon""></div></div>",Apparel & Accessories > Handbags, Wallets & Cases > Handbags,https://www.littleliffner.com/products/stripe-tote-mini-beige?variant=40915980943453,https://cdn.shopify.com/s/files/1/0108/5022/products/stripe-tote-mini-beige-592002.jpg?v=1677025735,in stock,110.0,Little Liffner,no,new
KM0011-3,"Stripe Tote Mini Brown - 30% off","<meta charset=""utf-8""><p data-mce-fragment=""1""><span color=""#f2ede9"" style=""color: #f2ede9;"" mce-data-marked=""1"">Stripe Tote Mini Bag Brown</span></p><div id=""gtx-trans"" style=""position: absolute; left: 112px; top: 27px;""><div class=""gtx-trans-icon""></div></div>",Apparel & Accessories > Handbags, Wallets & Cases > Handbags,https://www.littleliffner.com/products/stripe-tote-mini-brown?variant=40915981172829,https://cdn.shopify.com/s/files/1/0108/5022/products/stripe-tote-mini-brown-775747.jpg?v=1677025735,in stock,110.0,Little Liffner,no,new
CR3745-5,"Rainbow Bag Chestnut Suede - 40% off","<meta charset=""utf-8""><p data-mce-fragment=""1""><span style=""color: #f8f5f0;"" color=""#f8f5f0"">Rainbow Bag Chestnut Suede</span></p>",,https://www.littleliffner.com/products/rainbow-bag-chestnut-suede?variant=40915981533277,https://cdn.shopify.com/s/files/1/0108/5022/products/rainbow-bag-chestnut-suede-985922.jpg?v=1677025728,in stock,250.0,Little Liffner,no,new
CR3624-13,"Flow Corset Mushroom Suede - 30% off","<meta charset=""utf-8""><span style=""color: #f8f5f0;"" data-mce-fragment=""1"">THE FLOW CORSET IS AN ORGANIC SHAPED WIDE BELT TO BE WORN ON YOUR WAIST</span>",Apparel & Accessories > Clothing Accessories > Belts,https://www.littleliffner.com/products/flow-corset-mushroom-suede?variant=46705642438982,https://cdn.shopify.com/s/files/1/0108/5022/products/flow-corset-mushroom-suede-591513.jpg?v=1683295668,in stock,245.0,Little Liffner,no,new
CR3624-12,"Flow Corset Black Suede - 30% off","<meta charset=""utf-8""><span style=""color: #f8f5f0;"" data-mce-fragment=""1"">THE FLOW CORSET IS AN ORGANIC SHAPED WIDE BELT TO BE WORN ON YOUR WAIST</span>",Apparel & Accessories > Clothing Accessories > Belts,https://www.littleliffner.com/products/flow-corset-black-suede?variant=46705651777862,https://cdn.shopify.com/s/files/1/0108/5022/products/flow-corset-black-suede-825455.jpg?v=1683295668,in stock,245.0,Little Liffner,no,new
CR3788-1,"Tulip Shoulder Bag Large Black","<meta charset=""utf-8""><meta charset=""utf-8""><p><span style=""color: #f8f5f0;""> <meta charset=""utf-8"">Designed in Stockholm, made in Italy</span></p><div id=""gtx-trans"" style=""position: absolute; left: 155px; top: -19px;""><div class=""gtx-trans-icon""></div></div>",,https://www.littleliffner.com/products/tulip-shoulder-bag-large-black?variant=46706128290118,https://cdn.shopify.com/s/files/1/0108/5022/products/tulip-shoulder-bag-large-black-366109.jpg?v=1686846998,in stock,595.0,Little Liffner,no,new
CR3788-3,"Tulip Shoulder Bag Large Chestnut","<meta charset=""utf-8""><meta charset=""utf-8""><p><span style=""color: #f8f5f0;""> <meta charset=""utf-8"">Designed in Stockholm, made in Italy</span></p><div id=""gtx-trans"" style=""position: absolute; left: 155px; top: -19px;""><div class=""gtx-trans-icon""></div></div>",,https://www.littleliffner.com/products/tulip-shoulder-bag-large-chestnut?variant=46706134843718,https://cdn.shopify.com/s/files/1/0108/5022/products/tulip-shoulder-bag-large-chestnut-518826.jpg?v=1686846998,in stock,595.0,Little Liffner,no,new
CR3715-10,"Sprout Tote Army Suede","<meta charset=""utf-8""><span style=""color: #f8f5f0;""> <meta charset=""utf-8"">Designed in Stockholm, made in Italy</span><div id=""gtx-trans"" style=""position: absolute; left: 70px; top: 25.5px;""><div class=""gtx-trans-icon""></div></div>",,https://www.littleliffner.com/products/sprout-tote-army-suede?variant=46706247369030,https://cdn.shopify.com/s/files/1/0108/5022/products/sprout-tote-army-suede-655866.jpg?v=1692835946,in stock,575.0,Little Liffner,no,new
SRGG14107OX-44,"Sunken Stone Signet Ring Gold","<meta charset=""utf-8""><p data-mce-fragment=""1""><span style=""color: #f8f5f0;"" mce-data-marked=""1"">Sunken Stone Signet Ring Gold</span></p>",Apparel & Accessories > Jewelry,https://www.littleliffner.com/products/sunken-stone-signet-ring-gold?variant=46764737921350,https://cdn.shopify.com/s/files/1/0108/5022/products/sunken-stone-signet-ring-gold-213276.jpg?v=1684810923,in stock,325.0,Little Liffner,no,new
