id,title,description,link,image_link,availability,price,brand,identifier_exists,condition
CR3586-11,Maccheroni Bag Light Brown,"<meta charset=""utf-8""><p data-mce-fragment=""1""><span style=""color: #f2ede9;""> Maccheromi Bag Light Brown</span></p><div id=""gtx-trans"" style=""position: absolute; left: 133px; top: 27px;""><div class=""gtx-trans-icon""></div></div>",https://www.littleliffner.com/products/maccheroni-bag-light-brown,https://cdn.shopify.com/s/files/1/0108/5022/products/maccheroni-bag-light-brown-668563.jpg?v=1693333128,in stock,5250.00,brand name,no,new
CR3586-24,Maccheroni Bag Mushroom,"<meta charset=""utf-8""><p data-mce-fragment=""1""><span style=""color: #f2ede9;""> Maccheromi Bag Mushroom</span></p><div id=""gtx-trans"" style=""position: absolute; left: 7px; top: -19px;""><div class=""gtx-trans-icon""><br></div></div>",https://www.littleliffner.com/products/maccheroni-bag-mushroom,https://cdn.shopify.com/s/files/1/0108/5022/products/maccheroni-bag-mushroom-797560.jpg?v=1683295671,in stock,5250.00,brand name,no,new
CR3631-3,Maccheroni Belt Brown - 50% off,"<meta charset=""utf-8""><span style=""color: #f8f5f0;"">WAIST BELT WITH THE LITTLE LIFFNER NEW BOLD ‘MACCHERONI’ LOCK IN SILVER. </span><div id=""gtx-trans"" style=""position: absolute; left: 161px; top: -20px;""><div class=""gtx-trans-icon""></div></div>",https://www.littleliffner.com/products/maccheroni-belt-brown,https://cdn.shopify.com/s/files/1/0108/5022/products/maccheroni-belt-brown-480227.jpg?v=1626797104,in stock,1125.00,brand name,no,new
CR3805-2,Maccheroni Clutch Croc Embossed Black,"<meta charset=""utf-8""><p data-mce-fragment=""1""><span style=""color: #f2ede9;""> Maccheromi Bag Black</span></p><div id=""gtx-trans"" style=""position: absolute; left: 7px; top: -19px;""><div class=""gtx-trans-icon""></div></div>",https://www.littleliffner.com/products/maccheroni-clutch-croc-embossed-black,https://cdn.shopify.com/s/files/1/0108/5022/products/maccheroni-clutch-croc-embossed-black-249026.jpg?v=1691427339,in stock,4250.00,brand name,no,new
CR3692-10,Maccheroni Mini Bag Black Croc-Embossed - 30% off,"<meta charset=""utf-8""><p data-mce-fragment=""1""><span style=""color: #f8f5f0;""> Maccheromi Bag Black Croc-Embossed</span></p><div id=""gtx-trans"" style=""position: absolute; left: 127px; top: 27px;""><div class=""gtx-trans-icon""></div></div>",https://www.littleliffner.com/products/maccheroni-mini-bag-black-croc,https://cdn.shopify.com/s/files/1/0108/5022/products/maccheroni-mini-bag-black-croc-embossed-525399.jpg?v=1669149544,out of stock,2750.00,brand name,no,new
CR3842-1,Maccheroni Saddle Bag Black,"<meta charset=""utf-8""><p data-mce-fragment=""1""><span style=""color: #f2ede9;"" mce-data-marked=""1"">Made in Italy</span></p><div id=""gtx-trans"" style=""position: absolute; left: 7px; top: -19px;""><div class=""gtx-trans-icon""></div></div>",https://www.littleliffner.com/products/maccheroni-saddle-bag-black,https://cdn.shopify.com/s/files/1/0108/5022/products/maccheroni-saddle-bag-black-140189.jpg?v=1697815757,in stock,4950.00,brand name,no,new
CR3842-3,Maccheroni Saddle Bag Chestnut,"<meta charset=""utf-8""><p data-mce-fragment=""1""><span style=""color: #f2ede9;"" mce-data-marked=""1"">Made in Italy</span></p><div id=""gtx-trans"" style=""position: absolute; left: 7px; top: -19px;""><div class=""gtx-trans-icon""></div></div>",https://www.littleliffner.com/products/maccheroni-saddle-bag-chestnut,https://cdn.shopify.com/s/files/1/0108/5022/products/maccheroni-saddle-bag-chestnut-660527.jpg?v=1697815750,in stock,4950.00,brand name,no,new
CR3842-6,Maccheroni Saddle Bag Marble,"<meta charset=""utf-8""><p data-mce-fragment=""1""><span style=""color: #f2ede9;"" mce-data-marked=""1"">Made in Italy</span></p><div id=""gtx-trans"" style=""position: absolute; left: 7px; top: -19px;""><div class=""gtx-trans-icon""></div></div>",https://www.littleliffner.com/products/maccheroni-saddle-bag-marble,https://cdn.shopify.com/s/files/1/0108/5022/products/maccheroni-saddle-bag-marble-176575.jpg?v=1697815745,in stock,4950.00,brand name,no,new
CR3842-5,Maccheroni Saddle Bag Ostrich Embossed Black,"<meta charset=""utf-8""><p data-mce-fragment=""1""><span style=""color: #f2ede9;"" mce-data-marked=""1"">Made in Italy</span></p><div id=""gtx-trans"" style=""position: absolute; left: 7px; top: -19px;""><div class=""gtx-trans-icon""></div></div>",https://www.littleliffner.com/products/maccheroni-saddle-bag-ostrich-embossed-black,https://cdn.shopify.com/s/files/1/0108/5022/products/maccheroni-saddle-bag-ostrich-embossed-black-797074.jpg?v=1697815744,in stock,4950.00,brand name,no,new
CR3842-2,Maccheroni Saddle Bag Snake Embossed,"<meta charset=""utf-8""><p data-mce-fragment=""1""><span style=""color: #f2ede9;"" mce-data-marked=""1"">Made in Italy</span></p><div id=""gtx-trans"" style=""position: absolute; left: 7px; top: -19px;""><div class=""gtx-trans-icon""></div></div>",https://www.littleliffner.com/products/maccheroni-saddle-bag-snake-embossed,https://cdn.shopify.com/s/files/1/0108/5022/products/maccheroni-saddle-bag-snake-embossed-130229.jpg?v=1697815748,in stock,4950.00,brand name,no,new
